Tiempo (s),Temperatura (°C),Estado Servo
0.06,20.25,Abierto
0.10,20.25,Abierto
0.28,20.00,Abierto
0.49,20.25,Abierto
0.70,20.25,Abierto
0.89,20.25,Abierto
1.12,20.50,Abierto
1.31,20.25,Abierto
1.52,20.25,Abierto
1.72,20.25,Abierto
1.93,20.50,Abierto
2.12,20.25,Abierto
2.33,20.25,Abierto
2.54,20.00,Abierto
2.75,20.00,Abierto
2.95,20.25,Abierto
3.15,20.00,Abierto
3.35,20.00,Abierto
3.56,20.00,Abierto
3.75,20.50,Abierto
3.96,20.00,Abierto
4.17,20.50,Abierto
4.36,20.00,Abierto
4.57,20.25,Abierto
4.78,20.25,Abierto
4.97,20.00,Abierto
5.18,20.25,Abierto
5.39,20.50,Abierto
5.59,19.75,Abierto
5.79,20.50,Abierto
5.99,20.25,Abierto
6.20,20.25,Abierto
